Country,CountryCode,Name,Sport,Sport-short,Event,Medal
Great Britain,GBR,BAILEY Susan,Table Tennis,TTE,Women's Team - Classes 4-5,Bronze Medal
Great Britain,GBR,SHACKLETON Megan,Table Tennis,TTE,Women's Team - Classes 4-5,Bronze Medal
Serbia,SRB,MATIC Nada,Table Tennis,TTE,Women's Team - Classes 4-5,Bronze Medal
Serbia,SRB,PERIC RANKOVIC Borislava,Table Tennis,TTE,Women's Team - Classes 4-5,Bronze Medal
France,FRA,BARNEOUD Anne,Table Tennis,TTE,Women's Team - Classes 6-8,Bronze Medal
France,FRA,KAMKASOMPHOU Thu,Table Tennis,TTE,Women's Team - Classes 6-8,Bronze Medal
RPC,RPC,ALIEVA Maliak,Table Tennis,TTE,Women's Team - Classes 6-8,Bronze Medal
RPC,RPC,CHEBANIKA Raisa,Table Tennis,TTE,Women's Team - Classes 6-8,Bronze Medal
RPC,RPC,SAFONOVA Viktoriia,Table Tennis,TTE,Women's Team - Classes 6-8,Bronze Medal
Brazil,BRA,COSTA ALEXANDRE Bruna,Table Tennis,TTE,Women's Team - Classes 9-10,Bronze Medal
Brazil,BRA,MARQUES PARINOS Jennyfer,Table Tennis,TTE,Women's Team - Classes 9-10,Bronze Medal
Brazil,BRA,RAUEN Danielle,Table Tennis,TTE,Women's Team - Classes 9-10,Bronze Medal
People's Republic of China,CHN,XIONG Guiyan,Table Tennis,TTE,Women's Team - Classes 9-10,Bronze Medal
People's Republic of China,CHN,ZHAO Xiaojing,Table Tennis,TTE,Women's Team - Classes 9-10,Bronze Medal
RPC,RPC,SIDOROV Daniil,Taekwondo,TKW,Men K44 -61kg,Bronze Medal
Turkey,TUR,BOZTEKE Mahmut,Taekwondo,TKW,Men K44 -61kg,Bronze Medal
Argentina,ARG,SAMORANO Juan,Taekwondo,TKW,Men K44 -75kg,Bronze Medal
Republic of Korea,KOR,JOO Jeong Hun,Taekwondo,TKW,Men K44 -75kg,Bronze Medal
RPC,RPC,ATAEV Zainutdin,Taekwondo,TKW,Men K44 +75kg,Bronze Medal
United States of America,USA,MEDELL Evan,Taekwondo,TKW,Men K44 +75kg,Bronze Medal
RPC,RPC,PODDUBSKAIA Anna,Taekwondo,TKW,Women K44 -49kg,Bronze Medal
Thailand,THA,PHUANGKITCHA Khwansuda,Taekwondo,TKW,Women K44 -49kg,Bronze Medal
Brazil,BRA,CARDOSO FERNANDES Silvana Mayara,Taekwondo,TKW,Women K44 -58kg,Bronze Medal
People's Republic of China,CHN,LI Yujie,Taekwondo,TKW,Women K44 -58kg,Bronze Medal
Australia,AUS,WATSON Janine,Taekwondo,TKW,Women K44 +58kg,Bronze Medal
Great Britain,GBR,TRUESDALE Amy,Taekwondo,TKW,Women K44 +58kg,Bronze Medal
Italy,ITA,ACHENZA Giovanni,Triathlon,TRI,Men's PTWC,Bronze Medal
Japan,JPN,YONEOKA Satoru,Triathlon,TRI,Men's PTVI,Bronze Medal
Spain,ESP,SANCHEZ PALOMERO Alejandro,Triathlon,TRI,Men's PTS4,Bronze Medal
Canada,CAN,DANIEL Stefan,Triathlon,TRI,Men's PTS5,Bronze Medal
Italy,ITA,PLEBANI Veronica Yoko,Triathlon,TRI,Women's PTS2,Bronze Medal
Spain,ESP,MORAL PEDRERO Eva Maria,Triathlon,TRI,Women's PTWC,Bronze Medal
France,FRA,CURZILLAT Annouck,Triathlon,TRI,Women's PTVI,Bronze Medal
Great Britain,GBR,CASHMORE Claire,Triathlon,TRI,Women's PTS5,Bronze Medal
Great Britain,GBR,BRIDGE Billy,Wheelchair Basketball,WBK,Men,Bronze Medal
Great Britain,GBR,BROWN Harrison,Wheelchair Basketball,WBK,Men,Bronze Medal
Great Britain,GBR,BYWATER Terry,Wheelchair Basketball,WBK,Men,Bronze Medal
Great Britain,GBR,CHOUDHRY Gaz,Wheelchair Basketball,WBK,Men,Bronze Medal
Great Britain,GBR,EDWARDS Lewis,Wheelchair Basketball,WBK,Men,Bronze Medal
Great Britain,GBR,FOX Ben,Wheelchair Basketball,WBK,Men,Bronze Medal
Great Britain,GBR,JAMA Abdi,Wheelchair Basketball,WBK,Men,Bronze Medal
Great Britain,GBR,MACSORLEY James,Wheelchair Basketball,WBK,Men,Bronze Medal
Great Britain,GBR,MANNING Lee,Wheelchair Basketball,WBK,Men,Bronze Medal
Great Britain,GBR,PALMER James,Wheelchair Basketball,WBK,Men,Bronze Medal
Great Britain,GBR,SAGAR Ian,Wheelchair Basketball,WBK,Men,Bronze Medal
Great Britain,GBR,WARBURTON Gregg,Wheelchair Basketball,WBK,Men,Bronze Medal
United States of America,USA,ASLAKSON Josie,Wheelchair Basketball,WBK,Women,Bronze Medal
United States of America,USA,BAULEKE Abigail,Wheelchair Basketball,WBK,Women,Bronze Medal
United States of America,USA,EATON Kaitlyn,Wheelchair Basketball,WBK,Women,Bronze Medal
United States of America,USA,GONZALEZ Ixhelt,Wheelchair Basketball,WBK,Women,Bronze Medal
United States of America,USA,HOLLERMANN Rose,Wheelchair Basketball,WBK,Women,Bronze Medal
United States of America,USA,HUNTER Darlene,Wheelchair Basketball,WBK,Women,Bronze Medal
United States of America,USA,IBANEZ Alejandra,Wheelchair Basketball,WBK,Women,Bronze Medal
United States of America,USA,MOODY Bailey,Wheelchair Basketball,WBK,Women,Bronze Medal
United States of America,USA,RYAN Courtney,Wheelchair Basketball,WBK,Women,Bronze Medal
United States of America,USA,SCHNEIDER Natalie,Wheelchair Basketball,WBK,Women,Bronze Medal
United States of America,USA,VORIS Zoe,Wheelchair Basketball,WBK,Women,Bronze Medal
United States of America,USA,ZURBRUGG Lindsey,Wheelchair Basketball,WBK,Women,Bronze Medal
People's Republic of China,CHN,TIAN Jianquan,Wheelchair Fencing,WFE,Men's Épée Individual - Category A,Bronze Medal
Great Britain,GBR,COUTYA Dimitri,Wheelchair Fencing,WFE,Men's Épée Individual - Category B,Bronze Medal
RPC,RPC,NAGAEV Nikita,Wheelchair Fencing,WFE,Men's Foil Individual - Category A,Bronze Medal
Great Britain,GBR,COUTYA Dimitri,Wheelchair Fencing,WFE,Men's Foil Individual - Category B,Bronze Medal
People's Republic of China,CHN,TIAN Jianquan,Wheelchair Fencing,WFE,Men's Sabre Individual - Category A,Bronze Medal
Greece,GRE,TRIANTAFYLLOU Panagiotis,Wheelchair Fencing,WFE,Men's Sabre Individual - Category B,Bronze Medal
Great Britain,GBR,COUTYA Dimitri,Wheelchair Fencing,WFE,Men's Épée Team,Bronze Medal
Great Britain,GBR,GILLIVER Piers,Wheelchair Fencing,WFE,Men's Épée Team,Bronze Medal
Great Britain,GBR,LAM-WATSON Oliver,Wheelchair Fencing,WFE,Men's Épée Team,Bronze Medal
France,FRA,NOBLE Romain,Wheelchair Fencing,WFE,Men's Foil Team,Bronze Medal
France,FRA,TOKATLIAN Damien,Wheelchair Fencing,WFE,Men's Foil Team,Bronze Medal
France,FRA,VALET Maxime,Wheelchair Fencing,WFE,Men's Foil Team,Bronze Medal
People's Republic of China,CHN,BIAN Jing,Wheelchair Fencing,WFE,Women's Épée Individual - Category A,Bronze Medal
Thailand,THA,JANA Saysunee,Wheelchair Fencing,WFE,Women's Épée Individual - Category B,Bronze Medal
People's Republic of China,CHN,RONG Jing,Wheelchair Fencing,WFE,Women's Foil Individual - Category A,Bronze Medal
RPC,RPC,VASILEVA Ludmila,Wheelchair Fencing,WFE,Women's Foil Individual - Category B,Bronze Medal
Ukraine,UKR,BREUS Yevheniia,Wheelchair Fencing,WFE,Women's Sabre Individual - Category A,Bronze Medal
People's Republic of China,CHN,XIAO Rong,Wheelchair Fencing,WFE,Women's Sabre Individual - Category B,Bronze Medal
RPC,RPC,BOYKOVA Viktoria,Wheelchair Fencing,WFE,Women's Épée Team,Bronze Medal
RPC,RPC,EVDOKIMOVA Alena,Wheelchair Fencing,WFE,Women's Épée Team,Bronze Medal
RPC,RPC,MAYA Iuliia,Wheelchair Fencing,WFE,Women's Épée Team,Bronze Medal
Hungary,HUN,DANI Gyongyi,Wheelchair Fencing,WFE,Women's Foil Team,Bronze Medal
Hungary,HUN,HAJMASI Eva Andrea,Wheelchair Fencing,WFE,Women's Foil Team,Bronze Medal
Hungary,HUN,KRAJNYAK Zsuzsanna,Wheelchair Fencing,WFE,Women's Foil Team,Bronze Medal
Japan,JPN,HAGA Masayuki,Wheelchair Rugby,WRU,Mixed,Bronze Medal
Japan,JPN,HASEGAWA Yuki,Wheelchair Rugby,WRU,Mixed,Bronze Medal
Japan,JPN,HASHIMOTO Katsuya,Wheelchair Rugby,WRU,Mixed,Bronze Medal
Japan,JPN,IKE Yukinobu,Wheelchair Rugby,WRU,Mixed,Bronze Medal
Japan,JPN,IKEZAKI Daisuke,Wheelchair Rugby,WRU,Mixed,Bronze Medal
Japan,JPN,IMAI Tomoaki,Wheelchair Rugby,WRU,Mixed,Bronze Medal
Japan,JPN,KURAHASHI Kae,Wheelchair Rugby,WRU,Mixed,Bronze Medal
Japan,JPN,NAKAMACHI Shunya,Wheelchair Rugby,WRU,Mixed,Bronze Medal
Japan,JPN,NORIMATSU Seiya,Wheelchair Rugby,WRU,Mixed,Bronze Medal
Japan,JPN,OGAWA Hitoshi,Wheelchair Rugby,WRU,Mixed,Bronze Medal
Japan,JPN,SHIMAKAWA Shinichi,Wheelchair Rugby,WRU,Mixed,Bronze Medal
Japan,JPN,WAKAYAMA Hidefumi,Wheelchair Rugby,WRU,Mixed,Bronze Medal
Netherlands,NED,EGBERINK Tom,Wheelchair Tennis,WTE,Men's Doubles,Bronze Medal
Netherlands,NED,SCHEFFERS Maikel,Wheelchair Tennis,WTE,Men's Doubles,Bronze Medal
Great Britain,GBR,REID Gordon,Wheelchair Tennis,WTE,Men's Singles,Bronze Medal
Japan,JPN,MOROISHI Mitsuteru,Wheelchair Tennis,WTE,Quad Doubles,Bronze Medal
Japan,JPN,SUGENO Koji,Wheelchair Tennis,WTE,Quad Doubles,Bronze Medal
Netherlands,NED,VINK Niels,Wheelchair Tennis,WTE,Quad Singles,Bronze Medal
Japan,JPN,KAMIJI Yui,Wheelchair Tennis,WTE,Women's Doubles,Bronze Medal
Japan,JPN,OHTANI Momoko,Wheelchair Tennis,WTE,Women's Doubles,Bronze Medal
Great Britain,GBR,WHILEY Jordanne,Wheelchair Tennis,WTE,Women's Singles,Bronze Medal
